#   name_b      |    RA_b      |    DEC_b     |     spec-id     |    name_f       |    RA_f      |    DEC_f     |    spec-id      |   zb   |   zf   | theta |  R_com   |  S/N  |   gUV   |   ib  |  J2Mb |  H2Mb |  K2Mb | JABb  |  HABb |  KABb |   if  |  J2Mf |  H2Mf |  K2Mf | JABf  | HABf  |  KABf |   tel_b     |        tel_f
BOSSJ0011+0055A | 00:11:30.562 | +00:55:50.73 | 4217-0948-55478 | SDSSJ0011+0106B | 00:11:46.068 | +01:06:54.95 | 0686-0604-52519 |  2.302 |  2.020 | 703.7 | 18429.92 | -1.00 |      0. | 18.31 |  0.00 |  0.00 |  0.00 | 18.02 | 17.89 | 17.48 | 19.48 |  0.00 |  0.00 |  0.00 | 19.36 | 19.25 | 19.14 | SDSSBOSSVHSALLBOSS | SDSSKDEXDQSOZVHS
BOSSJ0011-0004A | 00:11:41.744 | -00:04:18.95 | 4218-0360-55479 | BOSSJ0011-0005B | 00:11:32.017 | -00:05:41.65 | 4217-0036-55478 |  3.084 |  2.892 | 167.7 | 5295.223 | -1.00 |     10. | 20.81 |  0.00 |  0.00 |  0.00 | 20.36 | 20.44 | 20.38 | 19.73 |  0.00 |  0.00 |  0.00 | 19.31 | 19.41 | 19.34 | SDSSBOSSKDEVCVALLBOSS | SDSSBOSSVHSALLBOSS
BOSSJ0012+0024A | 00:12:40.241 | +00:24:33.65 | 4218-0696-55479 | SDSSJ0012+0012B | 00:12:47.124 | +00:12:39.50 | 0686-0633-52519 |  2.619 |  2.161 | 721.5 | 19624.06 | -1.00 |      0. | 18.59 |  0.00 |  0.00 |  0.00 | 18.16 | 18.18 | 17.98 | 19.00 |  0.00 |  0.00 |  0.00 | 18.80 | 18.63 | 18.24 | SDSSBOSSKDEXDQSOZVHSALLBOSS | SDSSKDEXDQSOZVHSVCV,ISAAC
BOSSJ0012-0914A | 00:12:55.377 | -09:14:25.86 | 7169-0778-56628 | BOSSJ0013-0905B | 00:13:16.051 | -09:05:50.20 | 7169-0772-56628 |  3.002 |  2.687 | 599.7 | 18273.34 | -1.00 |      0. | 20.20 |  0.00 |  0.00 |  0.00 | 19.74 | 19.83 | 19.76 | 21.52 |  0.00 |  0.00 |  0.00 | 21.09 | 21.16 | 21.09 | SDSSBOSSKDEXDQSOZVCVALLBOSS | BOSS
BOSSJ0013+0004A | 00:13:06.152 | +00:04:31.87 | 4217-0020-55478 | SDSSJ0012+0000B | 00:12:29.716 | +00:00:37.87 | 0686-0067-52519 |  2.169 |  2.030 | 594.5 | 15612.41 | -1.00 |      0. | 18.45 | 18.24 | 17.63 | 17.74 | 18.25 | 18.09 | 17.68 | 18.90 |  0.00 |  0.00 |  0.00 | 18.77 | 18.66 | 18.55 | SDSSAUSBOSSKDEXDQSOZVCVALLBOSS | SDSSKDEXDQSOZVHS
BOSSJ0014+1439A | 00:14:17.139 | +14:39:09.44 | 6178-0122-56213 | BOSSJ0013+1435B | 00:13:41.745 | +14:35:31.31 | 6112-0806-56191 |  2.233 |  1.932 | 558.1 | 14245.36 | -1.00 |      0. | 21.88 |  0.00 |  0.00 |  0.00 | 21.58 | 21.45 | 21.01 | 19.16 |  0.00 |  0.00 |  0.00 | 19.03 | 18.95 | 18.81 | BOSS | SDSSBOSSKDEXDQSOZVCVALLBOSS
BOSSJ0014+1439A | 00:14:17.139 | +14:39:09.44 | 6178-0122-56213 | SDSSJ0013+1444B | 00:13:45.956 | +14:44:04.54 | 0752-0161-52251 |  2.233 |  2.133 | 540.1 | 14585.09 | -1.00 |      0. | 21.88 |  0.00 |  0.00 |  0.00 | 21.58 | 21.45 | 21.01 | 20.11 |  0.00 |  0.00 |  0.00 | 19.90 | 19.72 | 19.44 | BOSS | SDSSKDEXDQSOZVCV
BOSSJ0014-1009A | 00:14:35.434 | -10:09:00.91 | 7169-0230-56628 | SDSSJ0015-1000B | 00:15:13.648 | -10:00:44.61 | 0652-0184-52138 |  2.091 |  2.065 | 751.5 | 19923.80 | -1.00 |      0. | 21.58 |  0.00 |  0.00 |  0.00 | 21.42 | 21.26 | 21.13 | 19.19 |  0.00 |  0.00 |  0.00 | 19.03 | 18.90 | 18.79 | BOSS | SDSSKDEVCV
BOSSJ0015+0012A | 00:15:02.264 | +00:12:12.54 | 4218-0818-55479 | BOSSJ0015+0015B | 00:15:42.396 | +00:15:47.23 | 4218-0892-55479 |  2.850 |  2.426 | 639.1 | 18491.19 | -1.00 |      0. | 18.81 |  0.00 |  0.00 |  0.00 | 18.40 | 18.51 | 18.44 | 20.35 |  0.00 |  0.00 |  0.00 | 19.98 | 19.92 | 19.53 | SDSSBOSSXDQSOZVHSVCVALLBOSS | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS
BOSSJ0015+0048A | 00:15:57.082 | +00:48:22.41 | 4218-0876-55479 | SDSSJ0016+0045B | 00:16:28.843 | +00:45:50.96 | 1089-0630-52913 |  2.310 |  2.038 | 499.8 | 13154.10 | -1.00 |      0. | 19.62 |  0.00 |  0.00 |  0.00 | 19.32 | 19.20 | 18.79 | 20.60 |  0.00 |  0.00 |  0.00 | 20.47 | 20.36 | 20.25 | SDSSBOSSVHSVCVALLBOSS | SDSS
BOSSJ0016-0012A | 00:16:02.407 | -00:12:25.06 | 4218-0147-55479 | SDSSJ0016-0016B | 00:16:04.802 | -00:16:42.30 | 0687-0167-52518 |  2.090 |  2.025 | 259.7 | 6810.914 | -1.00 |      1. | 17.78 | 17.18 | 17.05 | 16.88 | 17.63 | 17.47 | 17.35 | 19.79 |  0.00 |  0.00 |  0.00 | 19.65 | 19.55 | 19.44 | SDSSBOSSKDEVHSVCVALLBOSS,ESI,HIRES | SDSSKDEXDQSOZVCV
BOSSJ0016-0020A | 00:16:02.637 | -00:20:35.56 | 4218-0155-55479 | BOSSJ0016-0012B | 00:16:02.407 | -00:12:25.06 | 4218-0147-55479 |  2.249 |  2.090 | 490.5 | 13094.14 | -1.00 |      2. | 19.39 |  0.00 |  0.00 |  0.00 | 19.13 | 18.99 | 18.56 | 17.78 | 17.18 | 17.05 | 16.88 | 17.63 | 17.47 | 17.35 | SDSSBOSSKDEVHSVCVALLBOSS | SDSSBOSSKDEVHSVCVALLBOSS,ESI,HIRES
BOSSJ0016-0020A | 00:16:02.637 | -00:20:35.56 | 4218-0155-55479 | SDSSJ0016-0016B | 00:16:04.802 | -00:16:42.30 | 0687-0167-52518 |  2.249 |  2.025 | 235.5 | 6175.911 | -1.00 |      1. | 19.39 |  0.00 |  0.00 |  0.00 | 19.13 | 18.99 | 18.56 | 19.79 |  0.00 |  0.00 |  0.00 | 19.65 | 19.55 | 19.44 | SDSSBOSSKDEVHSVCVALLBOSS | SDSSKDEXDQSOZVCV
BOSSJ0016+0056A | 00:16:05.888 | +00:56:54.28 | 4218-0868-55479 | BOSSJ0015+0048B | 00:15:57.082 | +00:48:22.41 | 4218-0876-55479 |  2.390 |  2.310 | 528.6 | 14904.53 | -1.00 |      0. | 20.23 |  0.00 |  0.00 |  0.00 | 19.89 | 19.80 | 19.41 | 19.62 |  0.00 |  0.00 |  0.00 | 19.32 | 19.20 | 18.79 | MMT-DLA | SDSSBOSSVHSVCVALLBOSS
BOSSJ0016+0056A | 00:16:05.888 | +00:56:54.28 | 4218-0868-55479 | SDSSJ0016+0045B | 00:16:28.843 | +00:45:50.96 | 1089-0630-52913 |  2.390 |  2.038 | 747.3 | 19666.73 | -1.00 |      0. | 20.23 |  0.00 |  0.00 |  0.00 | 19.89 | 19.80 | 19.41 | 20.60 |  0.00 |  0.00 |  0.00 | 20.47 | 20.36 | 20.25 | MMT-DLA | SDSS
BOSSJ0016+0056A | 00:16:05.888 | +00:56:54.28 | 4218-0868-55479 | BOSSJ0016+0056B | 00:16:57.761 | +00:56:14.73 | 4218-0920-55479 |  2.390 |  1.871 | 779.0 | 19510.50 | -1.00 |      0. | 20.23 |  0.00 |  0.00 |  0.00 | 19.89 | 19.80 | 19.41 | 18.56 | 17.86 | 18.38 | 17.52 | 18.49 | 18.44 | 18.31 | MMT-DLA | SDSSBOSSKDEXDQSOZMADDOXVHSALLBOSS
BOSSJ0016+0056A | 00:16:07.272 | +00:56:53.06 | 4298-0089-55511 | BOSSJ0015+0048B | 00:15:57.082 | +00:48:22.41 | 4218-0876-55479 |  2.597 |  2.310 | 533.0 | 15028.44 | -1.00 |      0. | 20.62 |  0.00 |  0.00 |  0.00 | 20.19 | 20.20 | 19.90 | 19.62 |  0.00 |  0.00 |  0.00 | 19.32 | 19.20 | 18.79 | MMT-DLA | SDSSBOSSVHSVCVALLBOSS
BOSSJ0016+0056A | 00:16:07.272 | +00:56:53.06 | 4298-0089-55511 | BOSSJ0016+0056B | 00:16:05.888 | +00:56:54.28 | 4218-0868-55479 |  2.597 |  2.390 | 20.80 |  597.029 | -1.00 |    185. | 20.62 |  0.00 |  0.00 |  0.00 | 20.19 | 20.20 | 19.90 | 20.23 |  0.00 |  0.00 |  0.00 | 19.89 | 19.80 | 19.41 | MMT-DLA | MMT-DLA
